measures,min,max,mean,median,sd,D
area_km,13.9166,17474.1,1541.4339,1055.42,1719.6696,1918.5147
avg_neighbor_degree_avg,2.034,3.018,2.635,2.662,0.151,0.008
avg_weighted_neighbor_degree_avg,0.018,0.195,0.044,0.043,0.0138,0.004
circuity_avg,1.037,1.385,1.091,1.077,0.043,0.001
cluster_coeff_avg,0.023,0.113,0.061,0.06,0.014,0.003
cluster_coeff_weighted_avg,0.0001,0.0035,0.0006,0.0005,0.0004,0.0002
degree_centrality_avg,<0.0001,0.006,0.0007,0.0005,0.0007,0.0008
D_len,0.39,0.804,0.696,0.708,0.059,0.005
D_number,0.33,0.763,0.585,0.587,0.092,0.014
H_len,0.87,1.844,1.493,1.501,0.134,0.012
H_number,0.804,1.693,1.276,1.294,0.171,0.022
EH_number,0.297,0.699,0.478,0.477,0.069,0.009
EH_len,0.396,0.753,0.56,0.557,0.054,0.005
edge_density_km,588.52,21455.0097,4894.38,4422.96,2618.15,1400.52
edge_length_avg,80.3,554.87,193.48,177.73,70.41,25.62
edge_length_total,215859,72705078,6225597,3972135,7043501,7968860
entropy,0.0006,0.455,0.03,0.015,0.042,0.057
dead_end_count,84,42120,3237.818,1893,4094.996,5179.102
dead_end_proportion,0.071,0.398,0.213,0.217,0.055,0.014
intersect_3way_count,456,158240,10046.66,6292,13259.25,17499.12
intersect_3way_proportion,0.523,0.791,0.679,0.679,0.042,0.002
intersect_4way_count,82,28668,1425.067,767,2441.437,4182.69
intersect_4way_proportion,0.034,0.272,0.094,0.086,0.036,0.013
intersection_count,551,188178,11692.62,7131,15853.92,21496.2
intersect_density_km,0.493,89.41,10.7,8.15,9.6,8.62
k_avg,3.86,5.563,4.69,4.713,0.257,0.014
edge_count,1706,514638,34882.84,21277,45179,58514.22
node_count,703,230298,14930.45,9189,19663.35,25896.58
node_density_km,0.677,114.744,13.406,10.515,11.52,9.898
pagerank_max,<0.0001,0.005,0.0007,0.0005,0.0006,0.0006
pagerank_min,<0.0001,2.00E-04,<0.0001,<0.0001,<0.0001,<0.0001
self_loop_proportion,0,0.024,0.0046,0.0038,0.0037,0.003
street_density_km,300.4,12421.85,2692.93,2412.95,1521.76,859.94
street_length_avg,74.1,539.32,185.64,170.88,67.25,24.36
street_length_total,133679.3,42484958,3381940.1,2140753.2,3919173.6,4541748.6
street_segments_count,928,316004,19852.74,12125,26818.39,36228.06
streets_per_node_avg,2.232,3.099,2.661,2.651,0.1382,0.0072
,,,,,,
,,,,,,
,,,,,,
